商品货号,货源,中国尺码,外国尺码,品牌,市场价,库存数量,类别,小类,性别,季节,折扣
511881-023,浙江A仓,40,7,耐克,499.0,13,鞋,板鞋/休闲鞋,男,18Q1,6.1
511881-023,浙江A仓,40.5,7.5,耐克,499.0,13,鞋,板鞋/休闲鞋,男,18Q1,6.1
511881-023,湖北特价渠道,44,10,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.49
511881-023,天马总仓1仓,44,10,耐克,499.0,17,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,天马总仓1仓,44.5,10.5,耐克,499.0,7,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,天马总仓1仓,40.5,7.5,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,天马总仓1仓,42,8.5,耐克,499.0,22,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,天马总仓1仓,42.5,9,耐克,499.0,22,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,天马总仓1仓,43,9.5,耐克,499.0,20,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,广州店铺2仓渠道,40.5,7.5,耐克,499.0,12,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,广州店铺2仓渠道,40,7,耐克,499.0,12,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,深圳2仓,40.5,7.5,耐克,499.0,19,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,40,7,耐克,499.0,11,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,42,8.5,耐克,499.0,36,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,41,8,耐克,499.0,30,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,43,9.5,耐克,499.0,16,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,44,10,耐克,499.0,14,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,39,6.5,耐克,499.0,3,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,42.5,9,耐克,499.0,23,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,广东特价渠道,40.5,7.5,耐克,499.0,20,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,40,7,耐克,499.0,10,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,42,8.5,耐克,499.0,61,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,41,8,耐克,499.0,70,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,43,9.5,耐克,499.0,36,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,44,10,耐克,499.0,16,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,39,6.5,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,42.5,9,耐克,499.0,58,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,湖北活动渠道,42.5,9,耐克,499.0,47,鞋,板鞋/休闲鞋,男,18Q1,5.57
511881-023,湖北活动渠道,40.5,7.5,耐克,499.0,13,鞋,板鞋/休闲鞋,男,18Q1,5.57
511881-023,湖北活动渠道,40,7,耐克,499.0,5,鞋,板鞋/休闲鞋,男,18Q1,5.57
511881-023,湖北活动渠道,42,8.5,耐克,499.0,47,鞋,板鞋/休闲鞋,男,18Q1,5.57
511881-023,湖北活动渠道,41,8,耐克,499.0,50,鞋,板鞋/休闲鞋,男,18Q1,5.57
511881-023,湖北活动渠道,43,9.5,耐克,499.0,26,鞋,板鞋/休闲鞋,男,18Q1,5.57
511881-023,湖北活动渠道,44,10,耐克,499.0,9,鞋,板鞋/休闲鞋,男,18Q1,5.57
511881-023,东北特价店铺,42.5,9,耐克,499.0,10,鞋,板鞋/休闲鞋,男,18Q1,5.79
511881-023,东北特价店铺,40.5,7.5,耐克,499.0,9,鞋,板鞋/休闲鞋,男,18Q1,5.79
511881-023,东北特价店铺,40,7,耐克,499.0,5,鞋,板鞋/休闲鞋,男,18Q1,5.79
511881-023,东北特价店铺,42,8.5,耐克,499.0,16,鞋,板鞋/休闲鞋,男,18Q1,5.79
511881-023,东北特价店铺,41,8,耐克,499.0,19,鞋,板鞋/休闲鞋,男,18Q1,5.79
511881-023,东北特价店铺,43,9.5,耐克,499.0,12,鞋,板鞋/休闲鞋,男,18Q1,5.79
511881-023,东北特价店铺,44,10,耐克,499.0,11,鞋,板鞋/休闲鞋,男,18Q1,5.79
511881-023,东北特价店铺,39,6.5,耐克,499.0,15,鞋,板鞋/休闲鞋,男,18Q1,5.79
511881-023,湖南仓库渠道,40.5,7.5,耐克,499.0,26,鞋,板鞋/休闲鞋,男,18Q1,5.1
511881-023,湖南仓库渠道,40,7,耐克,499.0,23,鞋,板鞋/休闲鞋,男,18Q1,5.1
511881-023,湖南仓库渠道,42,8.5,耐克,499.0,38,鞋,板鞋/休闲鞋,男,18Q1,5.1
511881-023,湖南仓库渠道,41,8,耐克,499.0,39,鞋,板鞋/休闲鞋,男,18Q1,5.1
511881-023,湖南仓库渠道,43,9.5,耐克,499.0,21,鞋,板鞋/休闲鞋,男,18Q1,5.1
511881-023,湖南仓库渠道,44,10,耐克,499.0,11,鞋,板鞋/休闲鞋,男,18Q1,5.1
511881-023,湖南仓库渠道,42.5,9,耐克,499.0,20,鞋,板鞋/休闲鞋,男,18Q1,5.1
511881-023,湖南中房渠道,40.5,7.5,耐克,499.0,28,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,湖南中房渠道,40,7,耐克,499.0,24,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,湖南中房渠道,42,8.5,耐克,499.0,44,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,湖南中房渠道,41,8,耐克,499.0,42,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,湖南中房渠道,43,9.5,耐克,499.0,21,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,湖南中房渠道,44,10,耐克,499.0,10,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,湖南中房渠道,42.5,9,耐克,499.0,23,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,华西二仓,43,9.5,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.09
511881-023,广东渠道,44,10,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,7.7
511881-023,广东渠道,44.5,10.5,耐克,499.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.7
511881-023,泉州特价2仓,40.5,7.5,耐克,499.0,5,鞋,板鞋/休闲鞋,男,18Q1,5.3
511881-023,泉州特价2仓,40,7,耐克,499.0,4,鞋,板鞋/休闲鞋,男,18Q1,5.3
511881-023,泉州特价2仓,42,8.5,耐克,499.0,5,鞋,板鞋/休闲鞋,男,18Q1,5.3
511881-023,泉州特价2仓,41,8,耐克,499.0,4,鞋,板鞋/休闲鞋,男,18Q1,5.3
511881-023,泉州特价2仓,43,9.5,耐克,499.0,4,鞋,板鞋/休闲鞋,男,18Q1,5.3
511881-023,泉州特价2仓,39,6.5,耐克,499.0,2,鞋,板鞋/休闲鞋,男,18Q1,5.3
511881-023,泉州特价2仓,42.5,9,耐克,499.0,4,鞋,板鞋/休闲鞋,男,18Q1,5.3
511881-023,广东综合渠道,44.5,10.5,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,5.6
511881-023,山东户外3仓,40,7,耐克,499.0,6,鞋,板鞋/休闲鞋,男,18Q1,6.37
511881-023,山东户外3仓,42,8.5,耐克,499.0,46,鞋,板鞋/休闲鞋,男,18Q1,6.37
511881-023,山东户外3仓,41,8,耐克,499.0,35,鞋,板鞋/休闲鞋,男,18Q1,6.37
511881-023,山东户外3仓,43,9.5,耐克,499.0,13,鞋,板鞋/休闲鞋,男,18Q1,6.37
511881-023,山东户外3仓,44,10,耐克,499.0,18,鞋,板鞋/休闲鞋,男,18Q1,6.37
511881-023,山东户外3仓,42.5,9,耐克,499.0,32,鞋,板鞋/休闲鞋,男,18Q1,6.37
511881-023,东北综合店铺4,44.5,10.5,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.59
511881-023,东北综合店铺4,39,6.5,耐克,499.0,3,鞋,板鞋/休闲鞋,男,18Q1,6.59
511881-023,江苏李宁2仓,40,7,耐克,499.0,4,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,江苏李宁2仓,42,8.5,耐克,499.0,5,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,江苏李宁2仓,41,8,耐克,499.0,3,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,江苏李宁2仓,43,9.5,耐克,499.0,5,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,江苏李宁2仓,44,10,耐克,499.0,6,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,江苏李宁2仓,42.5,9,耐克,499.0,6,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,成都T店铺,43,9.5,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.1
511881-023,成都T店铺,42.5,9,耐克,499.0,8,鞋,板鞋/休闲鞋,男,18Q1,6.1
511881-023,常熟渠道,43,9.5,耐克,499.0,6,鞋,板鞋/休闲鞋,男,18Q1,6.79
511881-023,常熟渠道,44,10,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.79
511881-023,常熟渠道,44.5,10.5,耐克,499.0,3,鞋,板鞋/休闲鞋,男,18Q1,6.79
511881-023,常熟渠道,42.5,9,耐克,499.0,3,鞋,板鞋/休闲鞋,男,18Q1,6.79
511881-023,西安店铺渠道,39,6.5,耐克,499.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.59
511881-023,佛山滔博,42.5,9,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.2
511881-023,佛山滔博,42,8.5,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.2
511881-023,佛山滔博,41,8,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.2
511881-023,江西渠道,43,9.5,耐克,499.0,2,鞋,板鞋/休闲鞋,男,18Q1,6.75
511881-023,江西渠道,38.5,6,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.75
511881-023,天津特价2仓,42.5,9,耐克,499.0,53,鞋,板鞋/休闲鞋,男,18Q1,5.7
511881-023,天津特价2仓,13,13,耐克,499.0,2,鞋,板鞋/休闲鞋,男,18Q1,5.7
511881-023,天津特价2仓,40.5,7.5,耐克,499.0,28,鞋,板鞋/休闲鞋,男,18Q1,5.7
511881-023,天津特价2仓,40,7,耐克,499.0,13,鞋,板鞋/休闲鞋,男,18Q1,5.7
511881-023,天津特价2仓,42,8.5,耐克,499.0,54,鞋,板鞋/休闲鞋,男,18Q1,5.7
511881-023,天津特价2仓,41,8,耐克,499.0,64,鞋,板鞋/休闲鞋,男,18Q1,5.7
511881-023,天津特价2仓,43,9.5,耐克,499.0,37,鞋,板鞋/休闲鞋,男,18Q1,5.7
511881-023,天津特价2仓,44,10,耐克,499.0,15,鞋,板鞋/休闲鞋,男,18Q1,5.7
511881-023,天津特价2仓,39,6.5,耐克,499.0,11,鞋,板鞋/休闲鞋,男,18Q1,5.7
511881-023,天津特价2仓,44.5,10.5,耐克,499.0,2,鞋,板鞋/休闲鞋,男,18Q1,5.7
511881-023,泉州特价2仓,44.5,10.5,耐克,499.0,3,鞋,板鞋/休闲鞋,男,18Q1,5.3
537384-111,厦门T渠道,40.5,7.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,5.95
537384-111,厦门T渠道,42,8.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,5.95
537384-111,厦门T渠道,42.5,9,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,5.95
537384-111,厦门T渠道,43,9.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,5.95
537384-111,厦门T渠道,41,8,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,5.95
537384-111,厦门T渠道,40,7,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,5.95
537384-111,北京现货2仓,44,10,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.4
537384-111,北京现货2仓,45,11,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.4
537384-111,北京现货2仓,42.5,9,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,6.4
537384-111,江西T渠道,43,9.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.05
537384-111,东北店铺2仓,40.5,7.5,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,9.6
537384-111,东北店铺2仓,42,8.5,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,9.6
537384-111,东北店铺2仓,41,8,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,9.6
537384-111,东北店铺2仓,44,10,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,9.6
537384-111,东北店铺2仓,42.5,9,耐克,799.0,5,鞋,板鞋/休闲鞋,男,18Q1,9.6
537384-111,东北综合店铺2,40.5,7.5,耐克,799.0,7,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,东北综合店铺2,42,8.5,耐克,799.0,10,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,东北综合店铺2,41,8,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,东北综合店铺2,40,7,耐克,799.0,13,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,东北综合店铺2,44,10,耐克,799.0,9,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,东北综合店铺2,42.5,9,耐克,799.0,9,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,东北综合店铺2,43,9.5,耐克,799.0,11,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,东北店铺3仓,42,8.5,耐克,799.0,14,鞋,板鞋/休闲鞋,男,18Q1,8.5
537384-111,东北店铺3仓,41,8,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,8.5
537384-111,东北店铺3仓,44,10,耐克,799.0,9,鞋,板鞋/休闲鞋,男,18Q1,8.5
537384-111,东北店铺3仓,42.5,9,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,8.5
537384-111,东北店铺3仓,43,9.5,耐克,799.0,10,鞋,板鞋/休闲鞋,男,18Q1,8.5
537384-111,河南店铺渠道,42.5,9,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,7.82
537384-111,江苏李宁仓,42,8.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.91
537384-111,江苏李宁仓,39,6.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.91
537384-111,江苏李宁仓,44.5,10.5,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,8.91
537384-111,江苏李宁仓,40,7,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,8.91
537384-111,江苏李宁仓,43,9.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,8.91
537384-111,沈阳渠道,43,9.5,耐克,799.0,40,鞋,板鞋/休闲鞋,男,18Q1,6.3
537384-111,华东耐克渠道,40.5,7.5,耐克,799.0,7,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,华东耐克渠道,42,8.5,耐克,799.0,5,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,华东耐克渠道,39,6.5,耐克,799.0,8,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,华东耐克渠道,44.5,10.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,华东耐克渠道,41,8,耐克,799.0,7,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,华东耐克渠道,40,7,耐克,799.0,6,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,华东耐克渠道,44,10,耐克,799.0,7,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,华东耐克渠道,46,12,耐克,799.0,8,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,华东耐克渠道,45,11,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,华东耐克渠道,42.5,9,耐克,799.0,5,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,华东耐克渠道,43,9.5,耐克,799.0,7,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,九江综合渠道,40.5,7.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.4
537384-111,九江综合渠道,42,8.5,耐克,799.0,9,鞋,板鞋/休闲鞋,男,18Q1,6.4
537384-111,九江综合渠道,42.5,9,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,6.4
537384-111,九江综合渠道,43,9.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,6.4
537384-111,九江综合渠道,41,8,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,6.4
537384-111,天津彪马渠道,42.5,9,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.2
537384-111,天津彪马渠道,43,9.5,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.2
537384-111,天津彪马渠道,41,8,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.2
537384-111,天津彪马渠道,40,7,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.2
537384-111,天津彪马渠道,44,10,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.2
537384-111,天津彪马渠道,45,11,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,7.2
537384-111,天津彪马渠道,40.5,7.5,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.2
537384-111,天津彪马渠道,42,8.5,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.2
537384-111,辽宁库存,40.5,7.5,耐克,799.0,7,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,辽宁库存,42,8.5,耐克,799.0,10,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,辽宁库存,41,8,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,辽宁库存,40,7,耐克,799.0,13,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,辽宁库存,44,10,耐克,799.0,9,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,辽宁库存,42.5,9,耐克,799.0,9,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,辽宁库存,43,9.5,耐克,799.0,11,鞋,板鞋/休闲鞋,男,18Q1,8.6
537384-111,广东渠道,40.5,7.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,广东渠道,42,8.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,广东渠道,42.5,9,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,广东渠道,43,9.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,广东渠道,44.5,10.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,广东渠道,41,8,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,广东渠道,44,10,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.2
537384-111,山东户外3仓,42,8.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,7.03
537384-111,山东户外3仓,42.5,9,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,7.03
537384-111,上海耐克渠道,42,8.5,耐克,799.0,6,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,上海耐克渠道,42.5,9,耐克,799.0,8,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,上海耐克渠道,43,9.5,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,上海耐克渠道,39,6.5,耐克,799.0,5,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,上海耐克渠道,44.5,10.5,耐克,799.0,5,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,上海耐克渠道,41,8,耐克,799.0,5,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,上海耐克渠道,40,7,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,上海耐克渠道,44,10,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,上海耐克渠道,45,11,耐克,799.0,8,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,上海耐克渠道,47.5,13,耐克,799.0,6,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,江苏耐克渠道,42.5,9,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.4
537384-111,江苏耐克渠道,43,9.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,7.4
537384-111,江苏耐克渠道,41,8,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,7.4
537384-111,江苏耐克渠道,40,7,耐克,799.0,6,鞋,板鞋/休闲鞋,男,18Q1,7.4
537384-111,厦门店铺渠道,40.5,7.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,6.0
537384-111,厦门店铺渠道,42,8.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.0
537384-111,厦门店铺渠道,42.5,9,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.0
537384-111,厦门店铺渠道,41,8,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,6.0
537384-111,海南滔博,40.5,7.5,耐克,799.0,7,鞋,板鞋/休闲鞋,男,18Q1,6.2
537384-111,海南滔博,42,8.5,耐克,799.0,9,鞋,板鞋/休闲鞋,男,18Q1,6.2
537384-111,海南滔博,39,6.5,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,6.2
537384-111,海南滔博,41,8,耐克,799.0,10,鞋,板鞋/休闲鞋,男,18Q1,6.2
537384-111,海南滔博,40,7,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,6.2
537384-111,海南滔博,42.5,9,耐克,799.0,10,鞋,板鞋/休闲鞋,男,18Q1,6.2
537384-111,海南滔博,43,9.5,耐克,799.0,16,鞋,板鞋/休闲鞋,男,18Q1,6.2
537384-111,厦门店铺渠道,43,9.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.0
537384-111,河南店铺渠道,43,9.5,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,7.82
537384-111,泉州渠道,42,8.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.05
537384-111,江苏耐克渠道,42,8.5,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,7.4
537384-111,四川耐克,42.5,9,耐克,799.0,23,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,四川耐克,43,9.5,耐克,799.0,10,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,四川耐克,44.5,10.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,四川耐克,44,10,耐克,799.0,8,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,四川耐克,42,8.5,耐克,799.0,22,鞋,板鞋/休闲鞋,男,18Q1,6.7
537384-111,江苏李宁2仓,42,8.5,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,7.05
537384-111,江苏李宁2仓,42.5,9,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,7.05
537384-111,江苏李宁2仓,43,9.5,耐克,799.0,6,鞋,板鞋/休闲鞋,男,18Q1,7.05
537384-111,江苏耐克渠道,44.5,10.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,7.4
537384-111,江苏耐克渠道,38.5,6,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.4
537384-111,沈阳渠道,44,10,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.3
537384-111,沈阳渠道,40.5,7.5,耐克,799.0,40,鞋,板鞋/休闲鞋,男,18Q1,6.3
537384-111,沈阳渠道,42,8.5,耐克,799.0,88,鞋,板鞋/休闲鞋,男,18Q1,6.3
537384-111,沈阳渠道,39,6.5,耐克,799.0,5,鞋,板鞋/休闲鞋,男,18Q1,6.3
537384-111,沈阳渠道,41,8,耐克,799.0,85,鞋,板鞋/休闲鞋,男,18Q1,6.3
537384-111,沈阳渠道,40,7,耐克,799.0,40,鞋,板鞋/休闲鞋,男,18Q1,6.3
537384-111,北京综合渠道,42,8.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.85
537384-111,北京综合渠道,39,6.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,8.85
537384-111,北京综合渠道,44.5,10.5,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,8.85
537384-111,北京综合渠道,40,7,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,8.85
537384-111,北京综合渠道,43,9.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,8.85
537384-111,泉州特价2仓,42,8.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,5.9
537384-111,江苏李宁2仓,41,8,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,7.05
537384-111,江苏耐克渠道,39,6.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,7.4
537384-111,吉林综合渠道,42.5,9,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.0
537384-111,吉林综合渠道,43,9.5,耐克,799.0,5,鞋,板鞋/休闲鞋,男,18Q1,7.0
537384-111,吉林综合渠道,39,6.5,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.0
537384-111,吉林综合渠道,41,8,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,7.0
537384-111,吉林综合渠道,40,7,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.0
537384-111,吉林综合渠道,44,10,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,7.0
537384-111,吉林综合渠道,42,8.5,耐克,799.0,5,鞋,板鞋/休闲鞋,男,18Q1,7.0
537384-111,天马总仓1仓,45,11,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.4
537384-111,河南店铺渠道,40.5,7.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,7.82
537384-111,河南店铺渠道,42,8.5,耐克,799.0,6,鞋,板鞋/休闲鞋,男,18Q1,7.82
537384-111,河南店铺渠道,41,8,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,7.82
537384-111,河南店铺渠道,44,10,耐克,799.0,4,鞋,板鞋/休闲鞋,男,18Q1,7.82
537384-111,江西渠道,42,8.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.75
537384-111,江西渠道,39,6.5,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.75
537384-111,江西渠道,38.5,6,耐克,799.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.75
537384-111,上海特价渠道,42.5,9,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,6.53
537384-111,上海特价渠道,43,9.5,耐克,799.0,3,鞋,板鞋/休闲鞋,男,18Q1,6.53
537384-111,上海特价渠道,44.5,10.5,耐克,799.0,2,鞋,板鞋/休闲鞋,男,18Q1,6.53
